producto;precio;subcategoria;categoria;imagen
AREPA DE YUCA MASMAÍ 4 UND - 240 G;$ 4.190;Arepas;Alimentos y despensas;
AREPA EXTRAQUESO MASMAÍ 4 UND - 720 G;$ 5.350;Arepas;Alimentos y despensas;
AREPA DE CHÓCOLO 5 UND MASMAÍ 400 GRS;$ 2.990;Arepas;Alimentos y despensas;
AREPA CON QUESO MOZZARELLA MASMAI 400 GRS;$ 4.290;Arepas;Alimentos y despensas;
AREPA DE MAÍZ BLANCO CON AVENA Y CHÍA MASMAÍ 5 ;$ 3.990;Arepas;Alimentos y despensas;
AREPA BLANCA MASMAÍ 5 UND - 400 G;$ 1.450;Arepas;Alimentos y despensas;
AREPA AMARILLA MASMAÍ 5 UND - 400 G;$ 1.450;Arepas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000137.png
AREPA MINITELA BLANCA MASMAI 10 UND - 500 G;$ 1.590;Arepas;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000138.png
CALDO DE COSTILLA MAGGI 10 UND 80 G;$ 4.290;Caldos, Sopas y Bases;Alimentos y despensas;
CALDO DE GALLINA MAGGI 10 UND 88 G;$ 4.290;Caldos, Sopas y Bases;Alimentos y despensas;
CALDO DE GALLINA SPECIARIA 8 UND - 84 G;$ 1.990;Caldos, Sopas y Bases;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12001009.png
CREMA DE CHÓCLO VELSUP 70 G;$ 1.390;Caldos, Sopas y Bases;Alimentos y despensas;
CALDO DE COSTILLA SPECIARIA 84 G 8 CUBOS;$ 1.990;Caldos, Sopas y Bases;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002007.png
BASE PARA SALSA BOLOÑESA RICO 50 G;$ 1.890;Caldos, Sopas y Bases;Alimentos y despensas;
SOPA CREMA DE POLLO RICO 45 GR;$ 1.490;Caldos, Sopas y Bases;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003454.png
BASE PARA SALSA BECHAMEL/GULASH RICO 45 G;$ 2.090;Caldos, Sopas y Bases;Alimentos y despensas;
SOPA CREMA CHOCLO RICO 45 G;$ 1.290;Caldos, Sopas y Bases;Alimentos y despensas;
SALCHICHA RANCHERA X 131 G X 4 UD;$ 5.290;Carnes Frias;Alimentos y despensas;
JAMON PIETRAN ESTANDAR 167 GRS;$ 6.790;Carnes Frias;Alimentos y despensas;
COMBO TRADICIONAL VIANDE 900 GR;$ 9.890;Carnes Frias;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003882.png
MORCILLA VIANDÉ 500 GRS;$ 6.700;Carnes Frias;Alimentos y despensas;https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000108.png
